,cust_number,name_customer,invoice_id,total_open_amount,due_in_date,clear_date
10723,0200772670,ASSOCIAT corporation,1930576969.0,2467.53,2020-03-13,2020-03-17
26418,0200761734,H E BUT systems,1930577609.0,53703.88,2020-03-13,2020-03-16
10123,0200749225,SUPER  associates,1930573549.0,44436.71,2020-03-13,2020-03-16
97,0200759878,SA corporation,1930577042.0,39867.72,2020-03-13,2020-03-16
8658,0200723794,MID MO associates,1930576255.0,21631.84,2020-05-02,2020-05-05
37851,0200762301,C&S WH foundation,1930571766.0,24145.01,2020-03-13,2020-03-16
47634,0140104429,COSTCO corp,2960616939.0,7482.45,2020-03-17,2020-05-02
29839,0200769623,WAL-MAR in,1930571517.0,28569.26,2020-03-13,2020-03-16
1351,0200769623,WAL-MAR corp,1930571204.0,14645.37,2020-03-13,2020-03-16
10480,0200769623,WAL-MAR associates,1930575710.0,661.11,2020-03-13,2020-03-15
10547,CCCA02,KRAFT  llc,1930565401.0,15828.96,2020-04-02,2020-04-05
46462,0200769369,DI foundation,1930568886.0,14189.05,2020-03-13,2020-03-16
36420,0200778355,US  associates,1930577767.0,52828.1,2020-03-13,2020-03-16
16283,0200707822,PUBLI corporation,1930577584.0,57805.76,2020-03-13,2020-03-16
37387,0200772595,SAFEW associates,1930568947.0,58239.2,2020-03-13,2020-03-14
27976,0200769623,WAL-MAR co,1930565941.0,26445.53,2020-03-13,2020-03-16
48504,0200769623,WAL-MAR trust,1930575539.0,28577.94,2020-03-13,2020-03-16
15811,0200793568,SUPE corp,1930580659.0,678.29,2020-03-13,2020-03-15
26238,0200769623,WAL-MAR associates,1930581419.0,15837.0,2020-03-13,2020-03-16
10107,0200769623,WAL-MAR co,1930575197.0,161.79,2020-03-13,2020-03-24
15142,0200778355,US  associates,1930577767.0,52828.1,2020-03-13,2020-03-16
19297,0200759878,SA us,1930570567.0,8510.4,2020-05-02,2020-05-06
10686,0140105720,BROWN  in,2960617064.0,11915.48,2020-03-16,2020-04-29
41715,0200729290,KROGER corp,1930575333.0,18294.29,2020-03-13,2020-03-16
12026,0200793568,SUPE ,1930571558.0,89.41,2020-03-13,2020-03-24
32626,0200769623,WAL-MAR corp,1930567570.0,103178.93,2020-03-13,2020-03-14
17648,0200726979,BJ'S  in,1930567582.0,80190.51,2020-03-13,2020-03-15
36249,0200799367,MCL us,1930548840.0,20054.07,2020-03-13,2020-03-16
2282,0200742521,GLA ,1930567164.0,23155.48,2020-03-13,2020-03-16
26654,0200561861,CO llc,1930561500.0,35967.8,2020-03-13,2020-03-16
40511,0200759878,SA corporation,1930573797.0,4255.2,2020-05-02,2020-05-06
11918,0200820380,SMITH'S foundation,1930568773.0,2123.25,2020-05-02,2020-05-04
14253,0200706844,WINC systems,1930567183.0,6815.23,2020-03-13,2020-03-17
5275,0200744019,TARG ,1930572327.0,134519.88,2020-03-13,2020-03-18
47818,0200762301,C&S WH in,1930570331.0,20445.58,2020-03-13,2020-03-16
25481,0140105686,SYSC us,2960616935.0,268.94,2020-03-16,2020-05-11
35842,CCCA02,KRAFT  ,1930576574.0,7847.55,2020-04-02,2020-04-06
27315,0100043921,NASS llc,1930576707.0,242.07,2020-05-02,2020-05-14
15414,0200705742,DOT co,1930576614.0,35504.29,2020-03-30,2020-04-02
42652,0200769623,WAL-MAR co,1930576822.0,1322.22,2020-03-13,2020-03-15
35488,0140104429,COSTCO llc,2960616534.0,1649.57,2020-03-09,2020-04-28
25673,0200707822,PUBLI in,1930577543.0,99456.0,2020-03-13,2020-03-14
27041,0200705742,DOT us,1930570154.0,3365.96,2020-03-18,2020-03-22
9406,0200763489,GENERAL in,1930577000.0,961.78,2020-03-13,2020-03-15
30233,0200974851,RESTA foundation,1930576020.0,1489.94,2020-03-18,2020-03-20
18441,0200762301,C&S WH in,1930561118.0,23247.33,2020-03-13,2020-03-16
35699,0200418007,AM foundation,1930570717.0,42863.33,2020-03-13,2020-03-16
42700,0200705742,DOT in,1930570117.0,73467.38,2020-04-01,2020-04-03
15979,0200769623,WAL-MAR ,1930581982.0,943.12,2020-03-13,2020-03-15
9155,CCCA02,KRAFT  llc,1930571746.0,13653.12,2020-04-02,2020-04-05
22253,0200799367,MCL us,1930549219.0,9975.34,2020-03-13,2020-03-17
5791,0200980828,BEN E corp,1930577412.0,89481.11,2020-03-18,2020-03-19
9294,0200743996,STATER  corporation,1930575729.0,86049.42,2020-03-13,2020-03-14
9257,0100031704,DELHAIZE ,1930578865.0,107071.66,2020-03-13,2020-03-14
35456,0200776463,KROGE associates,1930566219.0,6049.53,2020-03-13,2020-03-17
40687,200739534,OK co,1930578919.0,2935.3,2020-05-02,2020-05-06
13819,0200705742,DOT corp,1930576846.0,1830.77,2020-04-01,2020-04-03
10940,0200794332,COST trust,1930567022.0,8793.09,2020-03-13,2020-03-17
3041,0200455322,PEA in,1930571601.0,70999.18,2020-03-28,2020-03-30
26432,0100031704,DELHAIZE in,1930578864.0,114410.69,2020-03-13,2020-03-14
2290,CCCA02,KRAFT  in,1930572633.0,16089.22,2020-04-02,2020-04-05
10747,0200974851,RESTA associates,1930576019.0,1281.84,2020-03-18,2020-03-20
29611,0200707822,PUBLI trust,1930580455.0,52501.47,2020-03-13,2020-03-16
10058,0140104475,FOC in,2960617550.0,2122.7,2020-03-16,2020-05-05
15858,0200726979,BJ'S  ,1930572463.0,381.17,2020-03-13,2020-03-16
39055,0200759878,SA systems,1930568860.0,35147.5,2020-03-13,2020-03-16
41615,0200726979,BJ'S  us,1930570469.0,574.67,2020-03-13,2020-03-15
35578,0100054980,SARA LE us,1930568788.0,56692.0,2020-04-12,2020-04-15
23381,0200776463,KROGE associates,1930567736.0,15672.8,2020-03-13,2020-03-16
42309,0140105847,GORDON F llc,2960617054.0,834.0,2020-03-09,2020-05-04
30015,0200707741,SMART &  llc,1930576137.0,134427.21,2020-03-13,2020-03-18
8875,0200769623,WAL-MAR llc,1930575194.0,123.23,2020-03-13,2020-03-24
1885,CC6600,KRAFT  llc,1991839932.0,19135.12,2020-04-12,2020-04-14
48593,0200769623,WAL-MAR co,1930565941.0,26445.53,2020-03-13,2020-03-16
48141,0200762301,C&S WH corporation,1930573754.0,49324.98,2020-03-13,2020-03-16
17030,0200794332,COST llc,1930573750.0,12610.49,2020-03-13,2020-03-17
48606,0200769623,WAL-MAR foundation,1930582437.0,471.56,2020-03-13,2020-03-15
8912,0200778998,CE in,1930575399.0,52898.48,2020-03-13,2020-03-16
35935,0200794332,COST corp,1930577121.0,77650.17,2020-03-13,2020-03-15
